dataset	Input	GO terms with lowest number of associated genes	GO terms with highest number of associated genes	Type 	Tools
Caffeine Dataset	110	26	3	BP	BiNGO
EGCG Dataset	121	26	2	BP	BiNGO
Caffeine Dataset	116	25	4	CC	BiNGO
EGCG Dataset	129	15	8	CC	BiNGO
Caffeine Dataset	121	7	5	MF	BiNGO
EGCG Dataset	131	9	1	MF	BiNGO
Caffeine Dataset	130	10	39	BP	ClueGO
EGCG Dataset	141	6	11	BP	ClueGO
Caffeine Dataset	130	0	14	CC	ClueGO
EGCG Dataset	141	6	3	CC	ClueGO
Caffeine Dataset	130	0	9	MF	ClueGO
EGCG Dataset	141	1	4	MF	ClueGO
Caffeine Dataset	122	1	1	BP	DAVID
Caffeine Dataset	126	8	5	CC	DAVID
Caffeine Dataset	121	1	2	MF	DAVID
EGCG Dataset	133	2	1	BP	DAVID
EGCG Dataset	136	3	2	CC	DAVID
EGCG Dataset	133	2	1	MF	DAVID
Caffeine Dataset	127	16	0	BP	GENECODIS
EGCG Dataset	140	9	0	BP	GENECODIS
Caffeine Dataset	128	6	0	CC	GENECODIS
EGCG Dataset	139	9	0	CC	GENECODIS
Caffeine Dataset	125	6	3	MF	GENECODIS
EGCG Dataset	136	6	0	MF	GENECODIS
Caffeine Dataset	128	6	18	BP	GO::TermFinder
EGCG Dataset	140	27	8	BP	GO::TermFinder
Caffeine Dataset	128	0	12	CC	GO::TermFinder
EGCG Dataset	140	8	3	CC	GO::TermFinder
Caffeine Dataset	128	0	7	MF	GO::TermFinder
EGCG Dataset	140	2	0	MF	GO::TermFinder
Caffeine Dataset	107	73	1	BP	GOstat
EGCG Dataset	116	54	3	BP	GOstat
Caffeine Dataset	107	27	21	CC	GOstat
EGCG Dataset	116	34	4	CC	GOstat
Caffeine Dataset	107	10	0	MF	GOstat
EGCG Dataset	116	7	0	MF	GOstat
Caffeine Dataset	128	39	166	BP	Gprofiler
EGCG Dataset	144	7	170	BP	Gprofiler
Caffeine Dataset	128	25	17	CC	Gprofiler
EGCG Dataset	144	8	53	CC	Gprofiler
Caffeine Dataset	128	22	8	MF	Gprofiler
EGCG Dataset	144	3	11	MF	Gprofiler
Caffeine Dataset	130	44	24	BP	PANTHER
EGCG Dataset	141	28	10	BP	PANTHER
Caffeine Dataset	130	0	30	CC	PANTHER
EGCG Dataset	141	3	21	CC	PANTHER
Caffeine Dataset	130	0	16	MF	PANTHER
EGCG Dataset	141	0	4	MF	PANTHER
Caffeine Dataset	125	39	6	BP	STRING
EGCG Dataset	137	36	9	BP	STRING
Caffeine Dataset	125	13	1	CC	STRING
EGCG Dataset	137	10	4	CC	STRING
Caffeine Dataset	125	9	4	MF	STRING
EGCG Dataset	137	9	4	MF	STRING
Caffeine Dataset	128	7	3	BP	WebGestalt
EGCG Dataset	140	3	2	BP	WebGestalt
Caffeine Dataset	128	2	2	CC	WebGestalt
EGCG Dataset	140	1	2	CC	WebGestalt
Caffeine Dataset	128	1	2	MF	WebGestalt
EGCG Dataset	140	0	1	MF	WebGestalt
