GOID	Description	FDR	Database	Type	Genes	Enrichment
GO:0008301	"DNA binding, bending"	4.99E-02	STRING	MF	HMGA2	All (Up vs. Down)
GO:0008301	"DNA binding, bending"	4.99E-02	STRING	MF	HMGB1	All (Up vs. Down)
GO:0005544	calcium-dependent phospholipid binding	4.99E-02	GOstat	MF	ANXA4	All (Up vs. Down)
GO:0005544	calcium-dependent phospholipid binding	4.99E-02	GOstat	MF	ANXA11	All (Up vs. Down)
GO:0035986	senescence-associated heterochromatin focus assembly	4.99E-02	GO::TermFinder	BP	HMGA2	All (Up vs. Down)
GO:0035986	senescence-associated heterochromatin focus assembly	4.99E-02	GO::TermFinder	BP	HMGA1	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPL29	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	HSPA4	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	SRSF2	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPS14	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPS3A	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPL4	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	SFPQ	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	TCP1	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RAN	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	EHBP1	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	YWHAG	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RAC2	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPL17	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPL36	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPS11	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPS26	All (Up vs. Down)
GO:0042886	amide transport	4.98E-02	GO::TermFinder	BP	RPL27A	All (Up vs. Down)
GO:0030163	protein catabolic process	4.98E-02	g:Profiler	BP	FBXL19	All (Up vs. Down)
GO:0030163	protein catabolic process	4.98E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0030163	protein catabolic process	4.98E-02	g:Profiler	BP	PSMC3	All (Up vs. Down)
GO:0030163	protein catabolic process	4.98E-02	g:Profiler	BP	PSMA2	All (Up vs. Down)
GO:0050920	regulation of chemotaxis	4.97E-02	g:Profiler	BP	HSPB1	All (Up vs. Down)
GO:0050920	regulation of chemotaxis	4.97E-02	g:Profiler	BP	HMGB1	All (Up vs. Down)
GO:0031625	ubiquitin protein ligase binding	4.93E-02	GENECODIS	MF	TRIM28	All (Up vs. Down)
GO:0031625	ubiquitin protein ligase binding	4.93E-02	GENECODIS	MF	YWHAE	All (Up vs. Down)
GO:0031625	ubiquitin protein ligase binding	4.93E-02	GENECODIS	MF	XRCC5	All (Up vs. Down)
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	4.97E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	4.97E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	4.97E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	XRCC5	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	HMGA1	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	ANXA11	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	HMGB1	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	ACTB	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	LMNB1	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	RPS19	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	TRIM28	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	HNRNPH1	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	HNRNPF	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	MAEL	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	S100A6	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	HNRNPA1	All (Up vs. Down)
GO:0044428	nuclear part	4.97E-02	BiNGO	CC	RBMX	All (Up vs. Down)
GO:0016021	integral component of membrane	4.96E-02	GOstat	CC	ACSL4	All (Up vs. Down)
GO:0016021	integral component of membrane	4.96E-02	GOstat	CC	TNFRSF10A	All (Up vs. Down)
GO:0016021	integral component of membrane	4.96E-02	GOstat	CC	CD9	All (Up vs. Down)
GO:0016021	integral component of membrane	4.96E-02	GOstat	CC	SLC2A10	All (Up vs. Down)
GO:0006469	negative regulation of protein kinase activity	4.96E-02	g:Profiler	BP	YWHAG	All (Up vs. Down)
GO:0006469	negative regulation of protein kinase activity	4.96E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:0009068	aspartate family amino acid catabolic process	4.95E-02	g:Profiler	BP	GOT2	All (Up vs. Down)
GO:0009067	aspartate family amino acid biosynthetic process	4.95E-02	g:Profiler	BP	GOT2	All (Up vs. Down)
GO:0045109	intermediate filament organization	4.95E-02	g:Profiler	BP	EPPK1	All (Up vs. Down)
GO:0042451	purine nucleoside biosynthetic process	4.95E-02	g:Profiler	BP	IMPDH2	All (Up vs. Down)
GO:0007095	mitotic G2 DNA damage checkpoint	4.95E-02	g:Profiler	BP	HMGA2	All (Up vs. Down)
GO:0071404	cellular response to low-density lipoprotein particle stimulus	4.95E-02	g:Profiler	BP	CD9	All (Up vs. Down)
GO:0046129	purine ribonucleoside biosynthetic process	4.95E-02	g:Profiler	BP	IMPDH2	All (Up vs. Down)
GO:0071229	cellular response to acid chemical	4.95E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0071229	cellular response to acid chemical	4.95E-02	g:Profiler	BP	XRCC5	All (Up vs. Down)
GO:0071222	cellular response to lipopolysaccharide	4.95E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0071222	cellular response to lipopolysaccharide	4.95E-02	g:Profiler	BP	HMGB1	All (Up vs. Down)
GO:0042455	ribonucleoside biosynthetic process	4.95E-02	g:Profiler	BP	IMPDH2	All (Up vs. Down)
GO:0050765	negative regulation of phagocytosis	4.95E-02	g:Profiler	BP	HMGB1	All (Up vs. Down)
GO:0009612	response to mechanical stimulus	4.95E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0009612	response to mechanical stimulus	4.95E-02	g:Profiler	BP	TNFRSF10A	All (Up vs. Down)
GO:0015672	monovalent inorganic cation transport	4.95E-02	g:Profiler	BP	YWHAE	All (Up vs. Down)
GO:0015672	monovalent inorganic cation transport	4.95E-02	g:Profiler	BP	SLC2A10	All (Up vs. Down)
GO:0015672	monovalent inorganic cation transport	4.95E-02	g:Profiler	BP	AKAP9	All (Up vs. Down)
GO:0007623	circadian rhythm	4.95E-02	g:Profiler	BP	IMPDH2	All (Up vs. Down)
GO:0007623	circadian rhythm	4.95E-02	g:Profiler	BP	AHCY	All (Up vs. Down)
GO:0031362	anchored to external side of plasma membrane	4.94E-02	BiNGO	CC	CD59	All (Up vs. Down)
GO:0005853	eukaryotic translation elongation factor 1 complex	4.94E-02	BiNGO	CC	EEF1A1	All (Up vs. Down)
GO:0051270	regulation of cellular component movement	4.94E-02	g:Profiler	BP	VCL	All (Up vs. Down)
GO:0051270	regulation of cellular component movement	4.94E-02	g:Profiler	BP	RAC2	All (Up vs. Down)
GO:0051270	regulation of cellular component movement	4.94E-02	g:Profiler	BP	LAMB1	All (Up vs. Down)
GO:0051270	regulation of cellular component movement	4.94E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:2001022	positive regulation of response to DNA damage stimulus	4.94E-02	STRING	BP	HMGA2	All (Up vs. Down)
GO:2001022	positive regulation of response to DNA damage stimulus	4.94E-02	STRING	BP	HMGB1	All (Up vs. Down)
GO:2001022	positive regulation of response to DNA damage stimulus	4.94E-02	STRING	BP	TRIM28	All (Up vs. Down)
GO:0006091	generation of precursor metabolites and energy	4.94E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0006091	generation of precursor metabolites and energy	4.94E-02	g:Profiler	BP	PGK2	All (Up vs. Down)
GO:0006091	generation of precursor metabolites and energy	4.94E-02	g:Profiler	BP	MDH2	All (Up vs. Down)
GO:0044429	obsolete mitochondrial part	4.93E-02	GOstat	CC	ATP5O	All (Up vs. Down)
GO:0044429	obsolete mitochondrial part	4.93E-02	GOstat	CC	ACSL4	All (Up vs. Down)
GO:0044429	obsolete mitochondrial part	4.93E-02	GOstat	CC	GOT2	All (Up vs. Down)
GO:0044429	obsolete mitochondrial part	4.93E-02	GOstat	CC	MDH2	All (Up vs. Down)
GO:0031224	intrinsic component of membrane	4.93E-02	GOstat	CC	ACSL4	All (Up vs. Down)
GO:0031224	intrinsic component of membrane	4.93E-02	GOstat	CC	TNFRSF10A	All (Up vs. Down)
GO:0031224	intrinsic component of membrane	4.93E-02	GOstat	CC	CD9	All (Up vs. Down)
GO:0031224	intrinsic component of membrane	4.93E-02	GOstat	CC	SLC2A10	All (Up vs. Down)
GO:0000785	chromatin	4.93E-02	GOstat	CC	HMGB1	All (Up vs. Down)
GO:0000785	chromatin	4.93E-02	GOstat	CC	HMGA1	All (Up vs. Down)
GO:0000785	chromatin	4.93E-02	GOstat	CC	HMGA2	All (Up vs. Down)
GO:0033157	regulation of intracellular protein transport	4.93E-02	g:Profiler	BP	RAN	All (Up vs. Down)
GO:0033157	regulation of intracellular protein transport	4.93E-02	g:Profiler	BP	RAC2	All (Up vs. Down)
GO:0031625	ubiquitin protein ligase binding	4.93E-02	GENECODIS	MF	HSPA9	All (Up vs. Down)
GO:0031625	ubiquitin protein ligase binding	4.93E-02	GENECODIS	MF	GPI	All (Up vs. Down)
GO:0017025	TBP-class protein binding	4.35E-02	GENECODIS	MF	HNRNPF	All (Up vs. Down)
GO:0017025	TBP-class protein binding	4.35E-02	GENECODIS	MF	CAND1	All (Up vs. Down)
GO:0042623	"ATPase activity, coupled"	4.23E-02	GENECODIS	MF	CCT8	All (Up vs. Down)
GO:0016564	transcription repressor activity	4.92E-02	BiNGO	MF	ILF3	All (Up vs. Down)
