"Var1,Var2,Var3,Freq,con,my_ranks"
"BiNGO,EGCG Dataset,BP,2,Maximum,7"
"ClueGO,EGCG Dataset,BP,11,Maximum,2"
"DAVID,EGCG Dataset,BP,1,Maximum,9"
"g:Profiler,EGCG Dataset,BP,170,Maximum,1"
"GO::TermFinder,EGCG Dataset,BP,8,Maximum,5"
"GOstat,EGCG Dataset,BP,3,Maximum,6"
"PANTHER,EGCG Dataset,BP,10,Maximum,3"
"STRING,EGCG Dataset,BP,9,Maximum,4"
"GENECODIS,EGCG Dataset,BP,0,Maximum,0"
"WebGestalt,EGCG Dataset,BP,2,Maximum,8"
"BiNGO,EGCG Dataset,CC,8,Maximum,3"
"ClueGO,EGCG Dataset,CC,3,Maximum,6"
"DAVID,EGCG Dataset,CC,2,Maximum,8"
"g:Profiler,EGCG Dataset,CC,53,Maximum,1"
"GO::TermFinder,EGCG Dataset,CC,3,Maximum,7"
"GOstat,EGCG Dataset,CC,4,Maximum,4"
"PANTHER,EGCG Dataset,CC,21,Maximum,2"
"STRING,EGCG Dataset,CC,4,Maximum,5"
"GENECODIS,EGCG Dataset,CC,0,Maximum,0"
"WebGestalt,EGCG Dataset,CC,2,Maximum,9"
"BiNGO,EGCG Dataset,MF,1,Maximum,5"
"ClueGO,EGCG Dataset,MF,4,Maximum,2"
"DAVID,EGCG Dataset,MF,1,Maximum,6"
"g:Profiler,EGCG Dataset,MF,28,Maximum,1"
"GO::TermFinder,EGCG Dataset,MF,0,Maximum,8"
"GOstat,EGCG Dataset,MF,0,Maximum,9"
"PANTHER,EGCG Dataset,MF,4,Maximum,3"
"STRING,EGCG Dataset,MF,4,Maximum,4"
"WebGestalt,EGCG Dataset,MF,1,Maximum,7"
"BiNGO,EGCG Dataset,BP,26,Minimum,5"
"ClueGO,EGCG Dataset,BP,6,Minimum,8"
"DAVID,EGCG Dataset,BP,2,Minimum,10"
"g:Profiler,EGCG Dataset,BP,25,Minimum,6"
"GENECODIS,EGCG Dataset,BP,9,Minimum,7"
"GO::TermFinder,EGCG Dataset,BP,27,Minimum,4"
"GOstat,EGCG Dataset,BP,54,Minimum,1"
"PANTHER,EGCG Dataset,BP,28,Minimum,3"
"STRING,EGCG Dataset,BP,36,Minimum,2"
"WebGestalt,EGCG Dataset,BP,3,Minimum,9"
"BiNGO,EGCG Dataset,CC,15,Minimum,2"
"ClueGO,EGCG Dataset,CC,6,Minimum,7"
"DAVID,EGCG Dataset,CC,3,Minimum,8"
"g:Profiler,EGCG Dataset,CC,11,Minimum,3"
"GENECODIS,EGCG Dataset,CC,9,Minimum,5"
"GO::TermFinder,EGCG Dataset,CC,8,Minimum,6"
"GOstat,EGCG Dataset,CC,34,Minimum,1"
"PANTHER,EGCG Dataset,CC,3,Minimum,9"
"STRING,EGCG Dataset,CC,10,Minimum,4"
"WebGestalt,EGCG Dataset,CC,1,Minimum,10"
"BiNGO,EGCG Dataset,MF,9,Minimum,1"
"ClueGO,EGCG Dataset,MF,1,Minimum,8"
"DAVID,EGCG Dataset,MF,2,Minimum,6"
"g:Profiler,EGCG Dataset,MF,7,Minimum,3"
"GENECODIS,EGCG Dataset,MF,6,Minimum,5"
"GO::TermFinder,EGCG Dataset,MF,2,Minimum,7"
"GOstat,EGCG Dataset,MF,7,Minimum,4"
"PANTHER,EGCG Dataset,MF,0,Minimum,9"
"STRING,EGCG Dataset,MF,9,Minimum,2"
"WebGestalt,EGCG Dataset,MF,0,Minimum,10"
"BiNGO,Caffeine Dataset,BP,3,Maximum,6"
"ClueGO,Caffeine Dataset,BP,39,Maximum,2"
"DAVID,Caffeine Dataset,BP,1,Maximum,8"
"g:Profiler,Caffeine Dataset,BP,166,Maximum,1"
"GENECODIS,Caffeine Dataset,BP,0,Maximum,10"
"GO::TermFinder,Caffeine Dataset,BP,18,Maximum,4"
"GOstat,Caffeine Dataset,BP,1,Maximum,9"
"PANTHER,Caffeine Dataset,BP,24,Maximum,3"
"STRING,Caffeine Dataset,BP,6,Maximum,5"
"WebGestalt,Caffeine Dataset,BP,3,Maximum,7"
"BiNGO,Caffeine Dataset,CC,4,Maximum,7"
"ClueGO,Caffeine Dataset,CC,14,Maximum,4"
"DAVID,Caffeine Dataset,CC,5,Maximum,6"
"g:Profiler,Caffeine Dataset,CC,17,Maximum,3"
"GENECODIS,Caffeine Dataset,CC,0,Maximum,10"
"GO::TermFinder,Caffeine Dataset,CC,12,Maximum,5"
"GOstat,Caffeine Dataset,CC,21,Maximum,2"
"PANTHER,Caffeine Dataset,CC,30,Maximum,1"
"STRING,Caffeine Dataset,CC,1,Maximum,9"
"WebGestalt,Caffeine Dataset,CC,2,Maximum,8"
"BiNGO,Caffeine Dataset,MF,5,Maximum,5"
"ClueGO,Caffeine Dataset,MF,9,Maximum,2"
"DAVID,Caffeine Dataset,MF,2,Maximum,8"
"g:Profiler,Caffeine Dataset,MF,8,Maximum,3"
"GENECODIS,Caffeine Dataset,MF,3,Maximum,7"
"GO::TermFinder,Caffeine Dataset,MF,7,Maximum,4"
"GOstat,Caffeine Dataset,MF,0,Maximum,10"
"PANTHER,Caffeine Dataset,MF,16,Maximum,1"
"STRING,Caffeine Dataset,MF,4,Maximum,6"
"WebGestalt,Caffeine Dataset,MF,2,Maximum,9"
"BiNGO,Caffeine Dataset,BP,26,Minimum,5"
"ClueGO,Caffeine Dataset,BP,10,Minimum,7"
"DAVID,Caffeine Dataset,BP,1,Minimum,10"
"g:Profiler,Caffeine Dataset,BP,39,Minimum,3"
"GENECODIS,Caffeine Dataset,BP,16,Minimum,6"
"GO::TermFinder,Caffeine Dataset,BP,6,Minimum,9"
"GOstat,Caffeine Dataset,BP,73,Minimum,1"
"PANTHER,Caffeine Dataset,BP,44,Minimum,2"
"STRING,Caffeine Dataset,BP,39,Minimum,4"
"WebGestalt,Caffeine Dataset,BP,7,Minimum,8"
"BiNGO,Caffeine Dataset,CC,25,Minimum,2"
"ClueGO,Caffeine Dataset,CC,0,Minimum,8"
"DAVID,Caffeine Dataset,CC,8,Minimum,5"
"g:Profiler,Caffeine Dataset,CC,25,Minimum,3"
"GENECODIS,Caffeine Dataset,CC,6,Minimum,6"
"GO::TermFinder,Caffeine Dataset,CC,0,Minimum,9"
"GOstat,Caffeine Dataset,CC,27,Minimum,1"
"PANTHER,Caffeine Dataset,CC,0,Minimum,10"
"STRING,Caffeine Dataset,CC,13,Minimum,4"
"WebGestalt,Caffeine Dataset,CC,2,Minimum,7"
"BiNGO,Caffeine Dataset,MF,7,Minimum,4"
"ClueGO,Caffeine Dataset,MF,0,Minimum,8"
"DAVID,Caffeine Dataset,MF,1,Minimum,6"
"g:Profiler,Caffeine Dataset,MF,22,Minimum,1"
"GENECODIS,Caffeine Dataset,MF,6,Minimum,5"
"GO::TermFinder,Caffeine Dataset,MF,0,Minimum,9"
"GOstat,Caffeine Dataset,MF,10,Minimum,2"
"PANTHER,Caffeine Dataset,MF,0,Minimum,10"
"STRING,Caffeine Dataset,MF,9,Minimum,3"
"WebGestalt,Caffeine Dataset,MF,1,Minimum,7"
"GENECODIS,EGCG Dataset,MF,0,Maximum,0"
