Database	back	Categories	Dataset
g:Profiler	60617	Biological Process	EGCG Dataset
g:Profiler	60617	Cellular Component	EGCG Dataset
g:Profiler	60617	Molecular Function	EGCG Dataset
DAVID	18224	Cellular Component	EGCG Dataset
DAVID	16881	Molecular Function	EGCG Dataset
DAVID	16792	Biological Process	EGCG Dataset
WebGestalt	16666	Biological Process	EGCG Dataset
WebGestalt	17596	Cellular Component	EGCG Dataset
WebGestalt	16671	Molecular Function	EGCG Dataset
PANTHER	20851	Biological Process	EGCG Dataset
PANTHER	20851	Cellular Component	EGCG Dataset
PANTHER	20851	Molecular Function	EGCG Dataset
GO::TermFinder	19626	Molecular Function	EGCG Dataset
GO::TermFinder	19626	Cellular Component	EGCG Dataset
GO::TermFinder	19626	Biological Process	EGCG Dataset
ClueGO	18188	Biological Process	EGCG Dataset
ClueGO	19160	Cellular Component	EGCG Dataset
ClueGO	18051	Molecular Function	EGCG Dataset
BiNGO	14299	Biological Process	EGCG Dataset
BiNGO	15473	Molecular Function	EGCG Dataset
BiNGO	16372	Cellular Component	EGCG Dataset
GENECODIS	17912	Biological Process	EGCG Dataset
GENECODIS	18892	Cellular Component	EGCG Dataset
GENECODIS	17805	Molecular Function	EGCG Dataset
GOstat	33972	Molecular Function	EGCG Dataset
GOstat	33972	Biological Process	EGCG Dataset
GOstat	33972	Cellular Component	EGCG Dataset
g:Profiler	60617	Biological Process	Caffeine Dataset
g:Profiler	60617	Cellular Component	Caffeine Dataset
g:Profiler	60617	Molecular Function	Caffeine Dataset
DAVID	18224	Cellular Component	Caffeine Dataset
DAVID	16881	Molecular Function	Caffeine Dataset
DAVID	16792	Biological Process	Caffeine Dataset
WebGestalt	16666	Biological Process	Caffeine Dataset
WebGestalt	17596	Cellular Component	Caffeine Dataset
WebGestalt	16671	Molecular Function	Caffeine Dataset
PANTHER	20851	Biological Process	Caffeine Dataset
PANTHER	20851	Cellular Component	Caffeine Dataset
PANTHER	20851	Molecular Function	Caffeine Dataset
GO::TermFinder	19626	Molecular Function	Caffeine Dataset
GO::TermFinder	19626	Cellular Component	Caffeine Dataset
GO::TermFinder	19626	Biological Process	Caffeine Dataset
ClueGO	18188	Biological Process	Caffeine Dataset
ClueGO	19160	Cellular Component	Caffeine Dataset
ClueGO	18051	Molecular Function	Caffeine Dataset
BiNGO	14299	Biological Process	Caffeine Dataset
BiNGO	15473	Molecular Function	Caffeine Dataset
BiNGO	16372	Cellular Component	Caffeine Dataset
GENECODIS	17912	Biological Process	Caffeine Dataset
GENECODIS	18892	Cellular Component	Caffeine Dataset
GENECODIS	17805	Molecular Function	Caffeine Dataset
GOstat	33972	Molecular Function	Caffeine Dataset
GOstat	33972	Biological Process	Caffeine Dataset
GOstat	33972	Cellular Component	Caffeine Dataset
STRING	18558	Cellular Component	EGCG Dataset
STRING	18188	Molecular Function	EGCG Dataset
STRING	18558	Biological Process	EGCG Dataset
STRING	18558	Cellular Component	Caffeine Dataset
STRING	18188	Molecular Function	Caffeine Dataset
STRING	18558	Biological Process	Caffeine Dataset
